NAME,company,year,Price,kms_driven,fuel_type
Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000,36000,Diesel
Ford Figo,Ford,2012,175000,41000,Diesel
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2015,320000,48660,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
Audi Q7,Audi,2014,500000,16934,Diesel
Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000,15975,Diesel
Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,650000,82000,Diesel
Renault Lodgy 85 PS RXL,Renault,2018,689999,20000,Diesel
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000,68000,Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,549000,32000,Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,489999,27000,Diesel
Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda Amaze 1.5 SX i DTEC,Honda,2015,345000,36000,Diesel
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000,47000,Diesel
Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel
Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel
Honda City ZX CVT,Honda,2017,170000,15000,Diesel
Ford Figo,Ford,2012,175000,41000,Diesel
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,570000,19000,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
