NAME,company,year,Price,kms_driven,fuel_type
Hyundai Verna Fluidic New,Hyundai,2015,525000,35000,Diesel
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000,49000,Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,350000,33333,Diesel
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,370000,60000,Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Hyundai i20 Active 1.4L SX O,Hyundai,2015,535000,37000,Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,45000,Diesel
Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
Hyundai Verna,Hyundai,2014,489999,44000,Diesel
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,20000,Diesel
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,36469,Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,59910,Diesel
