NAME,company,year,Price,kms_driven,fuel_type
Honda City 1.5 S MT,Honda,2011,280000,33000,Petrol
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda Amaze 1.5 SX i DTEC,Honda,2015,345000,36000,Diesel
Honda City,Honda,2015,499999,55000,Petrol
Honda City ZX CVT,Honda,2017,170000,15000,Diesel
Honda City,Honda,2015,448999,54000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Honda Brio,Honda,2012,224999,30000,Petrol
Honda City 1.5 EXi New,Honda,2005,90000,50000,Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014,325000,42000,Petrol
Honda Amaze 1.5 S i DTEC,Honda,2013,299000,45000,Diesel
Honda City 1.5 V MT,Honda,2010,285000,35000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Honda City 1.5 V MT,Honda,2014,549000,39000,Petrol
Honda Brio,Honda,2012,224999,30000,Petrol
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda City,Honda,2015,599999,30000,Diesel
Honda City,Honda,2014,544999,45000,Diesel
Honda City,Honda,2015,448999,54000,Petrol
Honda City ZX VTEC,Honda,2008,110000,45000,Petrol
Honda City VX O MT Diesel,Honda,2016,519000,52000,Diesel
Honda Jazz VX MT,Honda,2016,450000,41000,Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014,311000,33000,Petrol
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda City,Honda,2012,399999,45000,Petrol
Honda City,Honda,2015,599999,39000,Diesel
Honda Amaze,Honda,2015,344999,22000,Petrol
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda Accord,Honda,2009,175000,58559,Petrol
Honda Amaze,Honda,2014,299999,37000,Petrol
Honda City,Honda,2011,284999,55000,Petrol
Honda City,Honda,2015,644999,39000,Petrol
Honda Mobilio,Honda,2014,399999,44000,Petrol
Honda City,Honda,2014,584999,39000,Petrol
Honda Amaze,Honda,2014,274999,35000,Petrol
Honda City 1.5 V MT Exclusive,Honda,2010,240000,400000,Petrol
Honda City ZX EXi,Honda,2008,149000,42000,Petrol
Honda City 1.5 S MT,Honda,2010,225000,70000,Petrol
Honda City,Honda,2000,65000,80000,Petrol
Honda Jazz S MT,Honda,2009,169999,24695,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000,41000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,120000,43000,Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Chevrolet Beat LS Petrol,Chevrolet,2010,80000,56000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2015,220000,32700,Petrol
Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,210000,60000,Petrol
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,45000,Diesel
Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
Hyundai i20,Hyundai,2014,449999,23000,Petrol
Hyundai Eon,Hyundai,2014,174999,14000,Petrol
Hyundai i10,Hyundai,2012,244999,38000,Petrol
Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
Hyundai Accent,Hyundai,2010,99999,45000,Petrol
Hyundai Verna,Hyundai,2014,489999,44000,Diesel
Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,110000,44000,Petrol
Hyundai i10 Magna 1.2,Hyundai,2011,175000,45000,Petrol
Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
Hyundai Verna 1.4 VTVT,Hyundai,2014,375000,36000,Petrol
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,20000,Diesel
Hyundai Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,36469,Diesel
Hyundai Elite i20 Sportz 1.2,Hyundai,2018,600000,7800,Petrol
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,15141,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,59910,Diesel
