NAME,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000,15975,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,549000,32000,Diesel
Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
Maruti Suzuki Ertiga VDi,Maruti,2013,485000,42000,Diesel
Maruti Suzuki Ritz LDi,Maruti,2013,399999,33000,Diesel
Maruti Suzuki Dzire VDI,Maruti,2015,450000,104000,Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010,189500,38500,Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010,159500,43200,Diesel
Maruti Suzuki Swift VDi,Maruti,2011,209000,47000,Diesel
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Maruti Suzuki Ritz LDi,Maruti,2013,399999,33000,Diesel
Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
Maruti Suzuki Vitara Brezza,Maruti,2016,689999,29000,Diesel
Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,350000,166000,Diesel
Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
Maruti Suzuki Ertiga VDi,Maruti,2013,450000,90000,Diesel
