NAME,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol
Maruti Suzuki Alto 800,Maruti,2014,160000,35550,Petrol
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,190000,72000,Petrol
Maruti Suzuki Alto LX,Maruti,2008,95000,70000,Petrol
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000,30874,Petrol
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol
Maruti Suzuki A Star Lxi,Maruti,2011,189500,12500,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000,35000,Petrol
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,635000,29000,Petrol
Maruti Suzuki Ertiga Vxi,Maruti,2016,575000,29000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2012,155000,14000,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,350000,5600,Petrol
Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
Maruti Suzuki Alto 800,Maruti,2018,200000,7500,Petrol
Maruti Suzuki Alto 800 Vxi,Maruti,2015,220000,38000,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000,41000,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2018,310000,3000,Petrol
Maruti Suzuki Wagon R,Maruti,2012,199999,44000,Petrol
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,700000,3350,Petrol
Maruti Suzuki Zen VX,Maruti,2000,55000,60000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,145000,41000,Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,210000,35000,Petrol
Maruti Suzuki Alto Std BS IV,Maruti,2013,125000,39000,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,135000,45000,Petrol
Maruti Suzuki Swift VXI BSIII,Maruti,2006,135000,45000,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,145000,54870,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2010,135000,34580,Petrol
Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000,71200,Petrol
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,699000,14000,Petrol
Maruti Suzuki Wagon R 1.0,Maruti,2003,90000,45000,Petrol
Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000,45000,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000,9300,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,289999,22000,Petrol
Maruti Suzuki Dzire ZXI,Maruti,2013,380000,30000,Petrol
Maruti Suzuki Maruti 800 Std,Maruti,2003,57000,56758,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000,45000,Petrol
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000,73,Petrol
Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
Maruti Suzuki Wagon R,Maruti,2016,344999,15000,Petrol
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,265000,12000,Petrol
Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol
Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,30000,55000,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,40000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2017,240000,60000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2011,155000,32000,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol
Maruti Suzuki Alto K10 VXi,Maruti,2014,270000,22000,Petrol
Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
Maruti Suzuki Vitara Brezza,Maruti,2016,689999,29000,Diesel
Maruti Suzuki Wagon R,Maruti,2016,344999,15000,Petrol
Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,265000,12000,Petrol
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol
Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,350000,166000,Diesel
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,30000,55000,Petrol
Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,40000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013,450000,90000,Diesel
Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2017,240000,60000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2011,155000,32000,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol
Maruti Suzuki Alto K10 VXi,Maruti,2014,270000,22000,Petrol
