NAME,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000,28000,Petrol
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
Hyundai Verna Transform SX VTVT,Hyundai,2008,160000,45000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
Hyundai i10 Magna 1.2,Hyundai,2014,265000,18000,Petrol
Hyundai i20 Asta 1.2,Hyundai,2009,210000,65480,Petrol
Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
Hyundai i10 Sportz 1.2,Hyundai,2010,168000,45872,Petrol
Hyundai Eon Era Plus,Hyundai,2013,185000,27000,Petrol
Hyundai i20,Hyundai,2009,199000,31000,Petrol
Hyundai Santro Xing XS,Hyundai,2005,49000,7500,Petrol
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,895000,32000,Petrol
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000,41000,Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol
Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
Hyundai i20,Hyundai,2014,449999,23000,Petrol
Hyundai Eon,Hyundai,2014,174999,14000,Petrol
Hyundai i10,Hyundai,2012,244999,38000,Petrol
Hyundai Accent,Hyundai,2010,99999,45000,Petrol
Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
Hyundai i10 Magna 1.2,Hyundai,2011,175000,45000,Petrol
Hyundai Verna 1.4 VTVT,Hyundai,2014,375000,36000,Petrol
Hyundai Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
Hyundai Elite i20 Sportz 1.2,Hyundai,2018,600000,7800,Petrol
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,15141,Petrol
