NAME,company,year,Price,kms_driven,fuel_type
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,650000,82000,Diesel
Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000,38000,Diesel
Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000,35000,Petrol
Toyota Etios GD,Toyota,2013,350000,60000,Diesel
Toyota Etios Liva G,Toyota,2014,270000,55000,Petrol
Toyota Corolla Altis 1.8 GL,Toyota,2010,289999,70000,Petrol
Toyota Corolla Altis 1.8 J,Toyota,2012,349999,59000,Petrol
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999,99000,Diesel
Toyota Etios GD,Toyota,2013,275000,24800,Petrol
Toyota Corolla Altis 1.8 J,Toyota,2015,575000,42000,Petrol
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,365000,73000,Diesel
Toyota Etios,Toyota,2011,275000,36000,Diesel
Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0,Diesel
Toyota Etios,Toyota,2011,275000,36000,Diesel
