NAME,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.00,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,425000.00,40,Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000.00,28000,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000.00,36000,Diesel
Ford Figo,Ford,2012,175000.00,41000,Diesel
Hyundai Eon,Hyundai,2013,190000.00,25000,Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.00,24530,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000.00,60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.00,60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,315000.00,30000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.00,32000,Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015,320000.00,48660,Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.00,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,425000.00,40,Diesel
Audi A8,Audi,2017,1000000.00,4000,Petrol
Audi Q7,Audi,2014,500000.00,16934,Diesel
Mahindra Scorpio S10,Mahindra,2016,350000.00,43000,Diesel
Maruti Suzuki Alto 800,Maruti,2014,160000.00,35550,Petrol
Mahindra Scorpio S10,Mahindra,2016,350000.00,43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,310000.00,39522,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000.00,39000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.00,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.00,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.00,55000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,190000.00,72000,Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000.00,15975,Diesel
