NAME,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000,28000,Petrol
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Audi A8,Audi,2017,1000000,4000,Petrol
Maruti Suzuki Alto 800,Maruti,2014,160000,35550,Petrol
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,190000,72000,Petrol
Maruti Suzuki Alto LX,Maruti,2008,95000,70000,Petrol
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
Honda City 1.5 S MT,Honda,2011,280000,33000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
Honda City,Honda,2015,499999,55000,Petrol
Datsun Redi GO S,Datsun,2017,235000,16000,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000,30874,Petrol
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000,60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol
Chevrolet Spark LS 1.0,Chevrolet,2010,110000,41000,Petrol
Honda City,Honda,2015,448999,54000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Datsun Redi GO S,Datsun,2017,235000,16000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13500,Petrol
Ford EcoSport,Ford,2017,489999,39000,Petrol
Honda Brio,Honda,2012,224999,30000,Petrol
Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
Hyundai Verna Transform SX VTVT,Hyundai,2008,160000,45000,Petrol
Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000,35000,Petrol
Honda City 1.5 EXi New,Honda,2005,90000,50000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
